105	Bill Adams	37	13	Rep Ventas	1988-02-12	104	350000	367911
109	Mary Jones	31	11	Rep Ventas	1989-10-12	106	300000	392725
102	Sue Smith	48	21	Rep Ventas	1986-12-10	108	350000	474050
106	Sam Clark	52	11	VP Ventas	1988-06-14	\N	275000	299912
104	Bob Smith	33	12	Dir Ventas	1987-05-19	106	200000	142594
101	Dan Roberts	45	12	Rep Ventas	1986-10-20	104	300000	305673
110	Tom Snyder	41	\N	Rep Ventas	1990-01-13	101	\N	75985
108	Larry Fitch	62	21	Dir Ventas	1989-10-12	106	350000	361865
103	Paul Cruz	29	12	Rep Ventas	1987-03-01	104	275000	286775
107	Nancy Angelli	49	22	Rep Ventas	1988-11-14	108	300000	186042
